nom_entreprise,url_indeed
BNP Paribas,https://fr.indeed.com/cmp/Bnp-Paribas/reviews
Société Générale,https://fr.indeed.com/cmp/Soci%C3%A9t%C3%A9-G%C3%A9n%C3%A9rale-1/reviews
Crédit Agricole,https://fr.indeed.com/cmp/Cr%C3%A9dit-Agricole-1/reviews
AXA,https://fr.indeed.com/cmp/AXA-France-3f726005/reviews
Groupe BPCE,https://fr.indeed.com/cmp/Groupe-Bpce/reviews
Carrefour,https://fr.indeed.com/cmp/Carrefour/reviews
Auchan,https://fr.indeed.com/cmp/Auchan-48e2016d/reviews
Decathlon,https://fr.indeed.com/cmp/Decathlon/reviews
Leroy Merlin,https://fr.indeed.com/cmp/Leroy-Merlin/reviews
L'Oréal,https://fr.indeed.com/cmp/L'or%C3%A9al-1/reviews
Groupe LVMH,https://fr.indeed.com/cmp/Groupe-Lvmh/reviews
EDF,https://fr.indeed.com/cmp/Edf/reviews
Total Énergies,https://fr.indeed.com/cmp/Totalenergies/reviews
Renault,https://fr.indeed.com/cmp/Renault/reviews
Airbus,https://fr.indeed.com/cmp/Airbus-e4b213b1/reviews
Schneider Electric,https://fr.indeed.com/cmp/Schneider-Electric/reviews
Sanofi,https://fr.indeed.com/cmp/Sanofi/reviews
Michelin,https://fr.indeed.com/cmp/Michelin/reviews
Saint-Gobain,https://fr.indeed.com/cmp/Saint--gobain/reviews
Air France,https://fr.indeed.com/cmp/Air-France/reviews
Accor,https://fr.indeed.com/cmp/Accor/reviews
Bouygues Telecom,https://fr.indeed.com/cmp/Bouygues-Telecom/reviews
Vinci,https://fr.indeed.com/cmp/Vinci/reviews
Orange,https://fr.indeed.com/cmp/Orange-2/reviews
Capgemini,https://fr.indeed.com/cmp/Capgemini/reviews
Sopra Steria,https://fr.indeed.com/cmp/Sopra-Steria/reviews
Groupe La Poste,https://fr.indeed.com/cmp/Le-Groupe-La-Poste/reviews
Sephora,https://fr.indeed.com/cmp/Sephora/reviews
Veolia,https://fr.indeed.com/cmp/Veolia/reviews
Groupe Fnac Darty,https://fr.indeed.com/cmp/Groupe-Fnac-Darty-4/reviews
Intersport,https://fr.indeed.com/cmp/Intersport-8/reviews
Safran,https://fr.indeed.com/cmp/Safran/reviews
IKEA,https://fr.indeed.com/cmp/Ikea/reviews
Amazon,https://fr.indeed.com/cmp/Amazon.com/reviews
Verisure,https://fr.indeed.com/cmp/Verisure/reviews